weather	temperature	humidity	wind	forage
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4 H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H2
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H2
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1
1 1 2 3	H1
2 3 1 4	H2
2 4 1 3	H2
1 2 2 4	H3
2 1 1 1	H4
2 3 1 4	H4
1 2 3 4	H2
4 3 2 2	H3
2 3 1 4       H1

